time, Fahrenheit,humidity,moisture,temperature, solenoid_valve
2021-2-4-0:57,78,58,26,25,ON
2021-2-4-0:58,78,58,26,25,ON
2021-2-4-0:59,78,58,26,25,ON
2021-2-4-10:0,79.34,52,36.07038,26.3,OFF
2021-2-4-10:10,79.52,51,34.79961,26.4,ON
2021-2-4-10:11,79.52,51,34.89736,26.4,ON
2021-2-4-10:12,79.52,51,35.09286,26.4,OFF
2021-2-4-10:13,79.52,51,35.48387,26.4,OFF
2021-2-4-10:14,79.52,51,34.99511,26.4,OFF
2021-2-4-10:15,79.52,51,35.28837,26.4,OFF
2021-2-4-10:16,79.34,52,35.09286,26.3,OFF
2021-2-4-10:17,79.34,51,34.79961,26.3,ON
2021-2-4-10:18,79.52,51,34.79961,26.4,ON
2021-2-4-10:19,79.52,51,35.38612,26.4,OFF
2021-2-4-10:1,79.16,52,35.67937,26.2,OFF
2021-2-4-10:20,79.52,51,35.09286,26.4,ON
2021-2-4-10:21,79.52,50,35.19062,26.4,OFF
2021-2-4-10:22,79.52,50,34.79961,26.4,ON
2021-2-4-10:23,79.52,50,34.89736,26.4,ON
2021-2-4-10:24,79.52,50,35.97263,26.4,OFF
2021-2-4-10:25,79.52,50,35.97263,26.4,OFF
2021-2-4-10:26,79.52,50,35.38612,26.4,OFF
2021-2-4-10:27,79.52,50,35.87488,26.4,OFF
2021-2-4-10:28,79.52,50,36.16813,26.4,OFF
2021-2-4-10:29,79.34,50,35.67937,26.3,OFF
2021-2-4-10:2,79.16,52,35.67937,26.2,ON
2021-2-4-10:30,79.52,50,36.07038,26.4,OFF
2021-2-4-10:31,79.52,50,35.87488,26.4,OFF
2021-2-4-10:32,79.52,50,35.38612,26.4,OFF
2021-2-4-10:33,79.34,50,35.19062,26.3,OFF
2021-2-4-10:34,79.34,50,35.19062,26.3,OFF
2021-2-4-10:35,79.34,50,34.99511,26.3,ON
2021-2-4-10:36,79.52,51,35.38612,26.4,OFF
2021-2-4-10:37,79.34,51,35.38612,26.3,OFF
2021-2-4-10:38,79.34,51,35.77713,26.3,OFF
2021-2-4-10:39,79.52,51,35.77713,26.4,OFF
2021-2-4-10:3,79.16,52,35.77713,26.2,ON
2021-2-4-10:40,79.52,51,35.97263,26.4,OFF
2021-2-4-10:41,79.52,51,36.36364,26.4,OFF
2021-2-4-10:42,79.52,51,35.87488,26.4,OFF
2021-2-4-10:43,79.52,51,36.55914,26.4,OFF
2021-2-4-10:44,79.52,51,36.65689,26.4,OFF
2021-2-4-10:45,79.52,51,37.14565,26.4,OFF
2021-2-4-10:46,79.52,51,36.07038,26.4,OFF
2021-2-4-10:47,79.52,51,35.67937,26.4,OFF
2021-2-4-10:48,79.52,51,34.99511,26.4,ON
2021-2-4-10:49,79.52,51,34.89736,26.4,OFF
2021-2-4-10:4,79.34,52,35.19062,26.3,OFF
2021-2-4-10:50,79.52,51,35.28837,26.4,OFF
2021-2-4-10:51,79.52,51,35.19062,26.4,OFF
2021-2-4-10:52,79.7,51,35.09286,26.5,OFF
2021-2-4-10:53,79.52,50,34.89736,26.4,ON
2021-2-4-10:54,79.52,51,35.09286,26.4,ON
2021-2-4-10:55,79.7,51,36.65689,26.5,OFF
2021-2-4-10:56,80.06,50,35.97263,26.7,OFF
2021-2-4-10:57,79.7,51,35.77713,26.5,ON
2021-2-4-10:58,79.52,50,34.31085,26.4,ON
2021-2-4-10:59,79.7,51,34.31085,26.5,ON
2021-2-4-10:5,79.34,51,34.99511,26.3,ON
2021-2-4-10:6,79.52,51,35.19062,26.4,OFF
2021-2-4-10:7,79.52,51,35.77713,26.4,OFF
2021-2-4-10:8,79.52,51,35.38612,26.4,OFF
2021-2-4-10:9,79.52,51,34.89736,26.4,OFF
2021-2-4-11:0,79.52,51,34.2131,26.4,ON
2021-2-4-11:10,79.7,51,35.38612,26.5,OFF
2021-2-4-11:11,79.7,50,35.67937,26.5,OFF
2021-2-4-11:12,79.7,50,35.97263,26.5,OFF
2021-2-4-11:13,79.7,50,36.16813,26.5,OFF
2021-2-4-11:14,79.7,50,35.87488,26.5,OFF
2021-2-4-11:15,79.88,50,35.67937,26.6,OFF
2021-2-4-11:16,79.88,50,35.19062,26.6,OFF
2021-2-4-11:17,79.7,55,34.70186,26.5,ON
2021-2-4-11:18,79.88,55,34.99511,26.6,OFF
2021-2-4-11:19,79.88,50,35.19062,26.6,OFF
2021-2-4-11:1,79.7,51,34.2131,26.5,OFF
2021-2-4-11:20,79.88,49,35.28837,26.6,OFF
2021-2-4-11:21,79.88,54,35.28837,26.6,OFF
2021-2-4-11:22,79.88,49,34.99511,26.6,ON
2021-2-4-11:23,79.88,49,34.60411,26.6,ON
2021-2-4-11:24,79.88,55,34.70186,26.6,ON
2021-2-4-11:25,79.7,55,34.79961,26.5,ON
2021-2-4-11:26,79.7,55,35.67937,26.5,ON
2021-2-4-11:27,79.7,55,34.99511,26.5,ON
2021-2-4-11:2,79.7,56,36.16813,26.5,OFF
2021-2-4-11:3,79.7,51,35.67937,26.5,OFF
2021-2-4-11:49,77.54,51,37.73216,25.3,OFF
2021-2-4-11:4,79.7,50,36.07038,26.5,OFF
2021-2-4-11:50,77.54,51,39.00293,25.3,OFF
2021-2-4-11:51,77.9,51,39.8827,25.5,OFF
2021-2-4-11:52,77.9,51,40.76246,25.5,OFF
2021-2-4-11:53,78.08,50,41.34897,25.6,OFF
2021-2-4-11:54,78.08,50,41.54448,25.6,OFF
2021-2-4-11:55,78.26,54,40.66471,25.7,OFF
2021-2-4-11:56,78.44,49,39.58944,25.8,OFF
2021-2-4-11:57,78.44,55,38.80743,25.8,OFF
2021-2-4-11:58,78.44,49,38.90518,25.8,OFF
2021-2-4-11:59,78.44,50,38.02542,25.8,OFF
2021-2-4-11:5,79.7,51,35.38612,26.5,OFF
2021-2-4-11:6,79.7,51,34.99511,26.5,ON
2021-2-4-11:7,79.7,51,35.19062,26.5,OFF
2021-2-4-11:8,79.7,51,35.28837,26.5,OFF
2021-2-4-11:9,79.7,51,35.77713,26.5,OFF
2021-2-4-12:0,78.62,50,38.22092,25.9,OFF
2021-2-4-12:10,79.16,55,36.95015,26.2,OFF
2021-2-4-12:11,79.34,54,36.55914,26.3,OFF
2021-2-4-12:12,79.34,54,36.36364,26.3,OFF
2021-2-4-12:13,79.34,54,36.36364,26.3,OFF
2021-2-4-12:14,79.34,49,37.4389,26.3,OFF
2021-2-4-12:15,79.52,49,37.2434,26.4,OFF
2021-2-4-12:16,79.52,49,37.53666,26.4,OFF
2021-2-4-12:17,79.52,54,37.14565,26.4,OFF
2021-2-4-12:18,79.52,54,37.0479,26.4,OFF
2021-2-4-12:19,79.52,54,36.07038,26.4,OFF
2021-2-4-12:1,78.62,50,37.53666,25.9,OFF
2021-2-4-12:20,79.52,53,35.77713,26.4,OFF
2021-2-4-12:21,79.52,53,35.77713,26.4,OFF
2021-2-4-12:22,79.52,54,35.97263,26.4,OFF
2021-2-4-12:23,79.52,54,35.67937,26.4,OFF
2021-2-4-12:24,79.52,54,35.77713,26.4,OFF
2021-2-4-12:25,79.7,48,36.85239,26.5,OFF
2021-2-4-12:26,79.7,53,36.07038,26.5,OFF
2021-2-4-12:27,79.7,48,36.85239,26.5,OFF
2021-2-4-12:28,79.7,53,36.65689,26.5,OFF
2021-2-4-12:29,79.7,53,36.26588,26.5,OFF
2021-2-4-12:2,78.62,55,37.73216,25.9,OFF
2021-2-4-12:30,79.88,53,35.19062,26.6,OFF
2021-2-4-12:31,79.88,53,35.09286,26.6,ON
2021-2-4-12:32,79.88,53,36.16813,26.6,OFF
2021-2-4-12:33,79.88,53,35.38612,26.6,OFF
2021-2-4-12:34,79.88,52,35.67937,26.6,OFF
2021-2-4-12:35,79.88,52,34.99511,26.6,ON
2021-2-4-12:36,79.88,52,34.99511,26.6,OFF
2021-2-4-12:37,79.88,52,35.19062,26.6,OFF
2021-2-4-12:38,79.88,53,36.16813,26.6,OFF
2021-2-4-12:39,79.88,52,35.38612,26.6,OFF
2021-2-4-12:3,78.8,50,37.2434,26,OFF
2021-2-4-12:40,79.88,52,36.16813,26.6,OFF
2021-2-4-12:41,79.88,52,36.26588,26.6,OFF
2021-2-4-12:42,79.88,52,35.38612,26.6,OFF
2021-2-4-12:43,79.88,52,35.09286,26.6,OFF
2021-2-4-12:44,79.88,52,35.19062,26.6,OFF
2021-2-4-12:45,80.06,52,35.28837,26.7,OFF
2021-2-4-12:46,80.06,51,34.89736,26.7,ON
2021-2-4-12:47,80.06,50,35.28837,26.7,OFF
2021-2-4-12:48,79.88,50,35.67937,26.6,OFF
2021-2-4-12:49,80.06,50,35.09286,26.7,OFF
2021-2-4-12:4,78.98,50,38.12317,26.1,OFF
2021-2-4-12:50,80.06,49,35.97263,26.7,ON
2021-2-4-12:51,80.06,48,35.38612,26.7,OFF
2021-2-4-12:52,80.06,47,36.07038,26.7,OFF
2021-2-4-12:53,80.06,46,36.36364,26.7,OFF
2021-2-4-12:54,80.06,46,35.77713,26.7,OFF
2021-2-4-12:55,80.06,47,35.97263,26.7,OFF
2021-2-4-12:56,80.06,48,36.85239,26.7,OFF
2021-2-4-12:57,80.06,49,36.85239,26.7,OFF
2021-2-4-12:58,80.06,49,35.19062,26.7,OFF
2021-2-4-12:59,80.06,48,35.97263,26.7,OFF
2021-2-4-12:5,78.8,50,38.22092,26,OFF
2021-2-4-12:6,78.98,55,38.02542,26.1,OFF
2021-2-4-12:7,78.98,55,37.73216,26.1,OFF
2021-2-4-12:8,79.16,55,37.53666,26.2,OFF
2021-2-4-12:9,79.16,50,36.55914,26.2,OFF
2021-2-4-13:0,80.06,48,35.19062,26.7,OFF
2021-2-4-13:10,79.88,48,35.38612,26.6,OFF
2021-2-4-13:11,79.7,48,34.89736,26.5,ON
2021-2-4-13:12,79.88,48,34.31085,26.6,ON
2021-2-4-13:13,79.88,48,34.0176,26.6,ON
2021-2-4-13:14,80.06,49,34.99511,26.7,OFF
2021-2-4-13:15,80.06,49,36.16813,26.7,OFF
2021-2-4-13:16,79.88,49,36.65689,26.6,OFF
2021-2-4-13:17,80.06,48,36.16813,26.7,OFF
2021-2-4-13:18,79.88,48,36.55914,26.6,OFF
2021-2-4-13:19,80.06,48,37.2434,26.7,OFF
2021-2-4-13:1,80.06,48,34.89736,26.7,OFF
2021-2-4-13:20,80.06,48,35.77713,26.7,OFF
2021-2-4-13:21,80.24,47,35.28837,26.8,OFF
2021-2-4-13:22,80.06,46,35.38612,26.7,OFF
2021-2-4-13:23,80.06,47,34.99511,26.7,ON
2021-2-4-13:24,80.06,47,35.87488,26.7,OFF
2021-2-4-13:25,80.06,47,35.77713,26.7,OFF
2021-2-4-13:26,80.06,47,35.38612,26.7,OFF
2021-2-4-13:27,80.06,46,35.19062,26.7,OFF
2021-2-4-13:28,80.06,46,34.79961,26.7,ON
2021-2-4-13:29,80.06,45,34.70186,26.7,ON
2021-2-4-13:2,79.88,48,35.38612,26.6,OFF
2021-2-4-13:30,80.06,45,34.89736,26.7,ON
2021-2-4-13:31,80.06,45,35.67937,26.7,OFF
2021-2-4-13:32,79.88,46,35.77713,26.6,OFF
2021-2-4-13:33,79.88,46,36.65689,26.6,OFF
2021-2-4-13:34,79.88,46,36.26588,26.6,OFF
2021-2-4-13:35,80.06,46,36.26588,26.7,OFF
2021-2-4-13:36,80.06,46,36.55914,26.7,OFF
2021-2-4-13:37,80.06,46,36.36364,26.7,OFF
2021-2-4-13:38,80.06,46,36.07038,26.7,OFF
2021-2-4-13:39,80.06,46,36.85239,26.7,OFF
2021-2-4-13:3,79.88,48,34.89736,26.6,ON
2021-2-4-13:40,80.06,45,35.97263,26.7,OFF
